Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
HOR2854_1	Sanger / Illumina 1.9	101	65212846	82	48	59.96449307187957	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2854_2	Sanger / Illumina 1.9	100	65212846	81	48	60.57202946402987	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2867_1	Sanger / Illumina 1.9	101	60593218	76	48	59.126847854329654	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR2867_2	Sanger / Illumina 1.9	100	60593218	75	48	59.78785366668822	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR354_1	Sanger / Illumina 1.9	101	57977289	73	48	57.26846112181823	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR354_2	Sanger / Illumina 1.9	100	57977289	72	48	58.10494803047182	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR383_1	Sanger / Illumina 1.9	101	46338489	58	48	65.51989370760049	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR383_2	Sanger / Illumina 1.9	101	46338489	58	48	65.7746306762135	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR3938_1	Sanger / Illumina 1.9	101	52684229	66	48	67.44268470541235	PASS	WARN	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR3938_2	Sanger / Illumina 1.9	100	52684229	65	48	69.11242355547759	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
HOR3950_1	Sanger / Illumina 1.9	101	52490798	66	47	58.94280607879166	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR3950_2	Sanger / Illumina 1.9	100	52490798	65	47	59.41627598394869	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR3959_1	Sanger / Illumina 1.9	101	57756660	72	48	63.31130132080601	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
HOR3959_2	Sanger / Illumina 1.9	100	57756660	72	48	63.95027590167439	PASS	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
